row,zipcode,state,lat,long
4284,92324,CA,34.01,-117.27
4285,92325,CA,34.25,-117.3
4286,92325,CA,34.25,-117.3
4287,92325,CA,34.25,-117.3
4288,92325,CA,34.25,-117.3
4289,92325,CA,34.25,-117.3
4290,92335,CA,34.08,-117.46
4291,92336,CA,34.14,-117.45
4292,92336,CA,34.14,-117.45
4293,92336,CA,34.14,-117.45
4294,92344,CA,34.39,-117.39
4295,92345,CA,34.36,-117.32
4296,92345,CA,34.36,-117.32
4297,92352,CA,34.27,-117.19
4298,92352,CA,34.27,-117.19
4299,92356,CA,34.52,-116.88
4300,92372,CA,34.47,-117.62
4301,92373,CA,34,-117.12
4302,92374,CA,34.06,-117.17
4303,92375,CA,34.05,-117.19
4304,92382,CA,34.18,-117.08
4305,92392,CA,34.49,-117.36
4306,92392,CA,34.49,-117.36
4307,92392,CA,34.49,-117.36
4308,92399,CA,34.04,-117.01
4309,92399,CA,34.04,-117.01
4310,92399,CA,34.04,-117.01
4311,92399,CA,34.04,-117.01
4312,92405,CA,34.14,-117.3
4313,92407,CA,34.22,-117.37
4314,92407,CA,34.22,-117.37
4315,92501,CA,33.99,-117.38
4316,92503,CA,33.89,-117.44
4317,92504,CA,33.9,-117.4
4318,92505,CA,33.93,-117.49
4319,92506,CA,33.92,-117.36
4320,92507,CA,33.96,-117.31
4321,92507,CA,33.96,-117.31
4322,92508,CA,33.89,-117.32
4323,92509,CA,33.99,-117.44
4324,92509,CA,33.99,-117.44
4325,92532,CA,33.71,-117.34
4326,92545,CA,33.73,-117.05
4327,92551,CA,33.87,-117.22
4328,92551,CA,33.87,-117.22
4329,92555,CA,33.9,-117.1
4330,92557,CA,33.97,-117.25
4331,92562,CA,33.54,-117.33
4332,92563,CA,33.57,-117.14
4333,92567,CA,33.82,-117.1
4334,92583,CA,33.79,-116.93
4335,92584,CA,33.65,-117.18
4336,92585,CA,33.74,-117.18
4337,92587,CA,33.69,-117.24
4338,92590,CA,33.48,-117.22
4339,92591,CA,33.53,-117.1
4340,92592,CA,33.53,-117.04
4341,92602,CA,33.74,-117.76
4342,92610,CA,33.7,-117.67
4343,92612,CA,33.63,-117.81
4344,92614,CA,33.68,-117.85
4345,92617,CA,33.63,-117.83
4346,92617,CA,33.63,-117.83
4347,92618,CA,33.67,-117.73
4348,92618,CA,33.67,-117.73
4349,92620,CA,33.7,-117.76
4350,92626,CA,33.67,-117.9
4351,92626,CA,33.67,-117.9
4352,92627,CA,33.64,-117.91
4353,92627,CA,33.64,-117.91
4354,92629,CA,33.47,-117.7
4355,92630,CA,33.64,-117.67
4356,92630,CA,33.64,-117.67
4357,92630,CA,33.64,-117.67
4358,92630,CA,33.64,-117.67
4359,92630,CA,33.64,-117.67
4360,92630,CA,33.64,-117.67
4361,92646,CA,33.66,-117.97
4362,92646,CA,33.66,-117.97
4363,92646,CA,33.66,-117.97
4364,92647,CA,33.72,-118
4365,92648,CA,33.67,-118
4366,92649,CA,33.71,-118.04
4367,92653,CA,33.6,-117.71
4368,92655,CA,33.74,-117.98
4369,92673,CA,33.48,-117.61
4370,92675,CA,33.52,-117.61
4371,92677,CA,33.53,-117.7
4372,92677,CA,33.53,-117.7
4373,92677,CA,33.53,-117.7
4374,92677,CA,33.53,-117.7
4375,92683,CA,33.74,-117.99
4376,92688,CA,33.61,-117.61
4377,92688,CA,33.61,-117.61
4378,92691,CA,33.6,-117.66
4379,92691,CA,33.6,-117.66
4380,92692,CA,33.6,-117.64
4381,92694,CA,33.56,-117.63
4382,92701,CA,33.75,-117.85
4383,92703,CA,33.74,-117.89
4384,92704,CA,33.71,-117.9
4385,92708,CA,33.71,-117.94
4386,92780,CA,33.74,-117.82
4387,92782,CA,33.75,-117.77
4388,92801,CA,33.84,-117.95
4389,92802,CA,33.81,-117.91
4390,92802,CA,33.81,-117.91
4391,92802,CA,33.81,-117.91
4392,92804,CA,33.81,-117.97
4393,92804,CA,33.81,-117.97
4394,92805,CA,33.82,-117.91
4395,92805,CA,33.82,-117.91
4396,92805,CA,33.82,-117.91
4397,92805,CA,33.82,-117.91
4398,92805,CA,33.82,-117.91
4399,92808,CA,33.84,-117.73
4400,92808,CA,33.84,-117.73
4401,92808,CA,33.84,-117.73
4402,92808,CA,33.84,-117.73
4403,92821,CA,33.92,-117.86
4404,92831,CA,33.87,-117.89
4405,92833,CA,33.88,-117.96
4406,92841,CA,33.78,-117.97
4407,92866,CA,33.78,-117.84
4408,92866,CA,33.78,-117.84
4409,92868,CA,33.78,-117.86
4410,92870,CA,33.88,-117.85
4411,92870,CA,33.88,-117.85
4412,92870,CA,33.88,-117.85
4413,92879,CA,33.87,-117.53
4414,92880,CA,33.9,-117.61
4415,92880,CA,33.9,-117.61
4416,92880,CA,33.9,-117.61
4417,92881,CA,33.83,-117.5
4418,92882,CA,33.83,-117.6
4419,92883,CA,33.75,-117.48
4420,92886,CA,33.89,-117.78
4421,92887,CA,33.88,-117.72
4422,93003,CA,34.28,-119.22
4423,93003,CA,34.28,-119.22
4424,93021,CA,34.31,-118.87
4425,93030,CA,34.19,-119.17
4426,93033,CA,34.14,-119.1
4427,93036,CA,34.25,-119.16
4428,93036,CA,34.25,-119.16
4429,93063,CA,34.3,-118.72
4430,93203,CA,35.08,-118.79
4431,93212,CA,36.07,-119.53
4432,93212,CA,36.07,-119.53
4433,93230,CA,36.27,-119.63
4434,93235,CA,36.38,-119.22
4435,93277,CA,36.29,-119.38
4436,93291,CA,36.4,-119.38
4437,93304,CA,35.33,-119.02
4438,93306,CA,35.43,-118.83
4439,93307,CA,35.2,-118.86
4440,93311,CA,35.18,-119.21
4441,93401,CA,35.25,-120.62
4442,93402,CA,35.29,-120.81
4443,93403,CA,35.28,-120.65
4444,93422,CA,35.45,-120.71
4445,93534,CA,34.72,-118.15
4446,93535,CA,34.69,-117.9
4447,93535,CA,34.69,-117.9
4448,93546,CA,37.58,-118.84
4449,93551,CA,34.61,-118.27
4450,93555,CA,35.55,-117.67
4451,93555,CA,35.55,-117.67
4452,93555,CA,35.55,-117.67
4453,93555,CA,35.55,-117.67
4454,93555,CA,35.55,-117.67
4455,93560,CA,34.92,-118.4
4456,93611,CA,36.93,-119.56
4457,93612,CA,36.81,-119.71
4458,93612,CA,36.81,-119.71
4459,93635,CA,36.9,-121.02
4460,93644,CA,37.4,-119.61
4461,93704,CA,36.8,-119.8
4462,93710,CA,36.81,-119.75
4463,93720,CA,36.88,-119.77
4464,93722,CA,36.79,-119.92
4465,93722,CA,36.79,-119.92
4466,93726,CA,36.79,-119.76
4467,93726,CA,36.79,-119.76
4468,93727,CA,36.75,-119.67
4469,93727,CA,36.75,-119.67
4470,93930,CA,36.2,-120.94
4471,94002,CA,37.5,-122.3
4472,94014,CA,37.68,-122.43
4473,94014,CA,37.68,-122.43
4474,94015,CA,37.67,-122.47
4475,94017,CA,37.69,-122.47
4476,94024,CA,37.34,-122.11
4477,94030,CA,37.59,-122.4
4478,94030,CA,37.59,-122.4
4479,94040,CA,37.38,-122.08
4480,94043,CA,37.41,-122.05
4481,94062,CA,37.4,-122.29
4482,94063,CA,37.49,-122.21
4483,94066,CA,37.62,-122.43
4484,94066,CA,37.62,-122.43
4485,94070,CA,37.49,-122.26
4486,94080,CA,37.65,-122.42
4487,94086,CA,37.36,-122.02
4488,94087,CA,37.35,-122.03
4489,94089,CA,37.42,-122
4490,94104,CA,37.79,-122.4
4491,94112,CA,37.72,-122.44
4492,94115,CA,37.78,-122.43
4493,94121,CA,37.77,-122.49
4494,94122,CA,37.76,-122.48
4495,94124,CA,37.73,-122.38
4496,94124,CA,37.73,-122.38
4497,94131,CA,37.74,-122.44
4498,94158,CA,37.76,-122.39
4499,94306,CA,37.41,-122.13
4500,94404,CA,37.55,-122.26
4501,94501,CA,37.77,-122.27
4502,94501,CA,37.77,-122.27
4503,94513,CA,37.87,-121.68
4504,94518,CA,37.95,-122.02
4505,94518,CA,37.95,-122.02
4506,94520,CA,38,-122.03
4507,94520,CA,38,-122.03
4508,94526,CA,37.81,-121.97
4509,94530,CA,37.91,-122.3
4510,94530,CA,37.91,-122.3
4511,94531,CA,37.96,-121.76
4512,94531,CA,37.96,-121.76
4513,94533,CA,38.28,-122
4514,94536,CA,37.56,-121.98
4515,94539,CA,37.51,-121.89
